Samples	M0_all_kmeans_3	M0_all_kmeans_4	M0_all_kmeans_5	M0_all_kmeans_6	M0_all_kmeans_7	M0_all_kmeans_8	clr_M0_all_kmeans_3	clr_M0_all_kmeans_4	clr_M0_all_kmeans_5	clr_M0_all_kmeans_6	clr_M0_all_kmeans_7	clr_M0_all_kmeans_8	M1_all_kmeans_3	M1_all_kmeans_4	M1_all_kmeans_5	M1_all_kmeans_6	M1_all_kmeans_7	M1_all_kmeans_8	clr_M1_all_kmeans_3	clr_M1_all_kmeans_4	clr_M1_all_kmeans_5	clr_M1_all_kmeans_6	clr_M1_all_kmeans_7	clr_M1_all_kmeans_8	guidi_all_kmeans_3	guidi_all_kmeans_4	guidi_all_kmeans_5	guidi_all_kmeans_6	guidi_all_kmeans_7	guidi_all_kmeans_8	clr_guidi_all_kmeans_3	clr_guidi_all_kmeans_4	clr_guidi_all_kmeans_5	clr_guidi_all_kmeans_6	clr_guidi_all_kmeans_7	clr_guidi_all_kmeans_8	salazar_all_kmeans_3	salazar_all_kmeans_4	salazar_all_kmeans_5	salazar_all_kmeans_6	salazar_all_kmeans_7	salazar_all_kmeans_8	clr_salazar_all_kmeans_3	clr_salazar_all_kmeans_4	clr_salazar_all_kmeans_5	clr_salazar_all_kmeans_6	clr_salazar_all_kmeans_7	clr_salazar_all_kmeans_8	stress_all_kmeans_3	stress_all_kmeans_4	stress_all_kmeans_5	stress_all_kmeans_6	stress_all_kmeans_7	stress_all_kmeans_8	clr_stress_all_kmeans_3	clr_stress_all_kmeans_4	clr_stress_all_kmeans_5	clr_stress_all_kmeans_6	clr_stress_all_kmeans_7	clr_stress_all_kmeans_8
S18_Z05	2	2	1	5	4	6	1	3	0	1	1	5	1	3	1	5	5	7	2	1	0	4	6	0	1	0	3	4	6	7	0	3	0	0	2	6	2	1	1	3	3	2	2	2	3	0	5	7	2	3	3	0	0	4	0	2	2	5	4	4
S18_Z07	2	2	1	5	4	6	1	2	0	1	1	5	1	3	1	5	5	7	0	1	0	4	6	7	1	0	3	4	6	7	0	3	0	0	2	6	2	1	1	3	3	2	2	2	3	0	5	7	1	1	2	2	6	5	0	3	2	5	4	5
S18_Z09	1	1	3	0	2	2	1	3	0	1	1	5	0	0	2	4	4	1	2	1	0	4	6	2	0	1	1	5	0	1	0	3	2	0	2	6	2	0	3	2	1	0	2	2	3	0	5	7	0	0	3	4	4	0	0	3	2	5	4	4
S19_Z00	0	0	0	2	6	0	0	0	1	2	0	7	2	0	2	0	0	5	1	2	2	1	3	5	2	3	0	3	5	5	1	2	4	1	6	0	0	2	0	4	4	3	1	1	4	2	4	4	0	3	3	4	4	6	1	0	4	1	0	3
S19_Z01	0	3	0	2	6	0	0	0	1	2	0	7	2	1	3	0	0	5	1	2	2	1	3	5	2	3	0	3	5	5	1	2	4	1	6	0	0	2	0	4	4	3	1	1	4	2	4	4	2	3	3	0	0	4	1	0	1	0	5	1
S19_Z03	0	3	2	2	0	3	2	3	0	3	2	5	2	1	3	0	2	2	2	1	4	0	2	0	1	3	3	0	1	3	2	1	3	0	2	5	2	0	3	2	6	4	0	3	1	4	6	2	2	3	1	0	0	4	0	2	2	2	1	0
S19_Z05	0	0	0	2	0	3	2	3	0	1	1	5	2	0	2	0	2	2	2	1	0	4	2	0	2	3	0	5	1	3	2	3	2	0	5	4	2	0	3	2	6	4	0	2	1	4	6	2	2	3	3	0	0	0	0	2	2	2	4	5
S19_Z07	1	1	3	0	2	2	1	3	0	1	1	5	0	2	0	4	4	1	2	1	0	4	6	2	0	1	1	1	0	2	0	3	2	4	5	4	2	0	3	2	6	4	0	3	1	4	6	2	0	0	0	4	4	0	0	3	1	4	4	2
S19_Z09	1	0	0	0	2	2	1	3	0	1	1	0	0	0	2	4	4	1	2	1	0	4	1	2	0	1	1	5	0	1	0	3	2	4	5	4	2	0	3	2	6	4	0	3	1	4	6	2	0	3	3	4	4	0	0	3	1	5	4	4
S20_Z00	0	3	2	2	3	1	0	0	1	2	0	7	2	1	3	0	3	0	1	2	2	1	3	5	1	2	2	2	3	0	1	2	4	1	6	0	0	2	4	0	0	7	1	1	4	2	4	4	2	3	1	0	0	4	1	0	4	0	5	1
S20_Z01	0	3	2	4	3	1	0	0	1	2	0	7	1	1	3	3	3	0	1	2	2	1	3	5	1	2	2	2	3	0	1	2	4	1	6	0	0	0	4	0	0	7	1	1	4	2	4	4	2	2	1	5	3	3	1	2	4	0	5	1
S20_Z03	0	0	0	2	0	3	2	0	1	3	2	4	2	0	2	0	2	2	1	2	4	0	2	0	2	3	0	3	1	3	2	1	3	0	3	5	2	0	3	2	6	4	0	1	1	2	4	4	2	3	3	0	0	4	2	2	3	2	1	7
S20_Z05	1	0	0	0	2	2	2	3	0	1	1	5	2	0	2	4	4	1	2	1	0	0	2	0	2	3	1	5	0	1	2	3	3	0	2	6	2	0	3	2	6	4	0	2	3	0	6	7	2	3	3	0	4	0	2	2	3	4	4	7
S20_Z07	2	2	1	5	4	6	1	2	0	1	1	5	1	3	1	5	5	7	0	1	0	4	6	7	1	0	3	4	6	7	0	3	0	0	2	6	2	1	1	3	3	2	2	2	3	0	5	7	1	1	2	2	6	1	0	2	2	5	3	5
S20_Z09	1	1	3	0	2	2	1	3	0	1	1	0	0	2	0	4	4	1	2	1	0	4	1	2	0	1	1	1	0	2	0	3	2	4	5	4	0	0	3	2	1	0	0	3	1	4	2	2	0	0	0	4	4	0	1	0	4	1	3	3
S21_Z00	0	0	0	2	6	0	0	0	1	2	0	7	2	0	2	0	0	5	1	2	2	1	3	5	2	3	0	3	5	5	1	2	4	1	6	0	0	2	0	4	4	3	1	1	4	1	1	5	0	3	3	4	4	6	2	1	1	4	2	2
S21_Z01	0	3	2	4	3	1	0	0	1	2	0	7	2	1	3	3	3	0	1	2	2	1	3	1	1	2	2	2	3	0	1	2	4	1	6	0	0	2	4	0	0	7	1	1	4	2	4	4	2	2	1	5	3	3	2	1	3	4	2	2
S21_Z05	2	2	1	5	4	6	1	3	0	1	1	5	1	3	1	5	5	7	2	1	0	4	6	0	1	0	3	4	6	7	0	3	0	0	2	6	2	1	1	3	3	2	2	0	2	4	6	2	2	3	1	0	0	4	2	2	3	2	1	0
S21_Z07	2	2	1	5	4	6	1	2	2	1	1	5	1	3	1	5	5	7	0	1	3	4	6	7	1	0	3	4	6	7	0	3	0	0	2	6	2	1	1	3	3	2	2	2	3	0	5	7	1	1	2	2	6	5	0	3	2	5	4	4
S21_Z09	1	0	0	0	2	2	1	3	0	1	1	5	0	0	2	4	4	1	2	1	0	4	1	2	0	1	1	5	0	1	0	3	2	4	5	4	0	0	3	2	1	0	2	2	3	0	5	0	0	0	0	4	4	0	0	3	2	5	3	5
S24_Z00	1	0	0	0	6	0	0	0	1	2	0	7	0	0	2	4	0	5	1	2	2	1	3	1	2	3	0	3	5	5	1	2	1	1	6	0	0	2	0	4	4	3	1	1	0	5	3	6	0	3	3	4	4	6	2	1	1	4	2	2
S24_Z01	0	0	0	2	0	3	2	3	0	3	2	4	2	0	2	0	2	2	2	1	4	0	2	0	2	3	0	3	1	3	2	1	3	2	3	5	2	0	3	2	6	4	1	1	0	5	3	6	2	3	3	0	0	4	2	2	3	2	1	0
S24_Z03	1	0	0	0	2	2	2	3	0	1	1	5	0	0	2	4	4	1	2	1	0	4	2	0	0	1	1	5	0	1	2	3	3	0	5	6	0	0	3	2	1	0	0	3	1	4	6	2	0	0	0	4	4	0	2	2	3	4	4	0
S24_Z05	0	0	0	0	2	2	1	3	0	1	1	5	2	0	2	4	2	2	2	1	0	4	6	0	2	3	1	5	0	1	2	3	2	0	5	4	2	0	3	2	6	4	0	3	1	4	6	2	0	3	3	4	4	0	2	2	3	2	1	0
S24_Z07	1	1	3	0	2	2	1	3	0	1	1	5	0	0	2	4	4	1	2	1	0	4	6	2	0	1	1	5	0	1	0	3	2	4	5	4	2	0	3	2	6	4	0	3	1	4	6	2	0	0	0	4	4	0	2	2	3	2	1	0
S24_Z09	1	1	3	0	2	2	1	3	0	1	1	0	0	2	0	4	4	1	2	1	0	4	1	2	0	1	1	1	0	2	0	3	2	4	5	4	0	0	3	2	1	0	0	0	2	3	0	3	0	0	0	1	4	2	1	3	0	3	3	5
S25_Z00	1	0	0	0	6	0	0	0	3	0	0	3	0	0	2	4	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	0	0	4	4	6	2	1	3	4	2	2
S25_Z01	0	0	0	2	6	0	0	1	3	0	0	3	2	0	2	0	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	3	3	4	4	6	2	1	3	4	2	2
S25_Z03	0	0	0	2	0	3	2	3	0	3	2	4	2	0	2	0	2	2	2	1	4	0	2	0	2	3	0	5	1	3	2	1	3	0	3	5	0	0	3	2	1	0	0	3	1	4	2	2	2	3	3	0	0	0	2	2	3	2	1	0
S25_Z05	1	0	0	0	2	2	2	3	0	3	2	4	0	0	2	4	4	1	2	1	4	0	2	0	2	3	1	5	0	1	2	1	3	0	5	5	0	0	3	2	1	0	0	3	1	4	2	1	0	3	3	4	4	0	0	2	3	2	4	0
S25_Z07	1	0	0	0	2	2	1	3	0	1	1	5	0	0	2	4	4	1	2	1	0	4	6	2	0	1	1	5	0	1	0	3	2	0	5	4	2	0	3	2	6	4	2	2	3	0	5	0	0	3	3	4	4	0	2	2	3	4	4	0
S25_Z09	1	1	3	3	1	7	1	3	0	1	1	0	0	2	0	2	6	3	2	1	0	4	1	2	0	1	4	1	4	2	0	3	2	4	5	4	0	2	0	4	1	0	0	3	1	0	6	0	0	0	0	1	1	2	0	2	0	3	1	7
S26_Z00	1	1	3	3	1	7	0	1	3	0	0	3	0	2	0	2	6	3	1	0	1	2	4	6	0	1	4	1	4	2	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	0	0	1	1	2	2	1	1	4	2	2
S26_Z01	0	0	0	2	6	0	0	1	3	0	0	3	2	0	2	0	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	2	3	3	0	0	6	2	1	3	4	2	2
S26_Z03	0	3	2	4	0	3	2	3	0	3	2	4	2	1	3	3	2	0	2	1	4	0	2	0	1	2	2	0	1	3	2	1	3	2	3	5	2	0	3	2	6	4	1	1	0	5	3	6	2	2	1	0	0	4	2	1	1	4	2	2
S26_Z05	0	0	0	2	0	3	2	3	0	3	2	5	2	0	2	0	2	2	2	1	4	0	2	0	2	3	0	5	1	1	2	1	3	0	5	5	2	0	3	2	6	4	0	3	1	4	2	2	2	3	3	0	0	4	2	2	3	2	1	0
S26_Z07	1	0	0	0	2	2	1	3	0	1	1	5	0	0	2	4	4	1	2	1	0	4	6	2	0	1	1	5	0	1	0	3	2	4	5	4	2	0	3	2	6	4	0	3	2	3	2	1	0	3	3	4	4	0	0	3	0	5	3	5
S26_Z09	1	0	3	0	2	2	1	3	0	1	1	0	0	0	2	4	4	1	2	1	0	4	1	2	0	1	1	5	0	1	0	3	2	4	5	4	0	0	3	2	1	0	2	0	2	0	5	0	0	0	0	4	4	0	0	3	0	3	3	5
S27_Z00	0	3	2	4	3	1	0	0	1	2	0	7	2	1	3	3	3	0	1	2	2	1	3	5	1	2	2	2	3	0	1	2	4	1	6	0	0	0	4	0	0	7	0	1	1	2	4	4	2	2	1	5	3	3	1	0	4	0	5	1
S27_Z01	2	3	2	4	3	5	0	0	1	2	0	7	1	1	3	3	3	6	1	2	2	1	3	5	1	2	2	2	3	4	1	2	4	1	6	0	2	0	4	0	0	7	0	2	1	0	4	7	1	2	1	5	3	3	0	2	2	0	4	1
S27_Z03	0	3	2	2	0	3	2	3	0	1	1	5	2	1	3	3	2	2	2	1	0	4	6	0	1	0	3	0	1	3	2	3	3	0	2	6	2	0	3	2	6	4	2	2	3	0	5	7	2	2	1	5	3	4	0	2	2	2	4	0
S27_Z05	1	1	3	3	1	7	1	3	0	1	1	5	0	2	0	2	6	3	2	1	0	4	6	2	0	1	4	1	4	2	2	3	2	4	5	4	0	2	0	4	1	0	0	2	3	0	6	0	0	0	0	1	1	2	0	2	2	5	4	4
S27_Z07	2	2	1	5	4	6	1	2	2	1	6	5	1	3	1	5	5	7	0	1	3	5	6	7	1	0	3	4	6	7	0	3	0	3	2	6	2	1	1	3	3	2	2	2	3	0	5	7	1	1	2	2	2	1	0	2	2	2	4	0
S27_Z09	1	0	0	0	2	2	1	3	0	1	1	5	0	0	2	4	4	1	2	1	0	4	6	2	0	1	1	5	0	1	0	3	2	4	2	6	2	0	3	2	1	0	2	2	3	0	5	7	0	3	3	4	4	0	0	3	2	5	4	4
S28_Z00	0	0	0	2	6	0	0	1	3	0	0	3	2	0	2	0	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	0	3	4	4	6	2	1	3	4	2	2
S28_Z01	1	0	0	0	6	0	0	1	3	0	0	3	0	0	2	4	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	4	2	4	4	0	0	3	4	4	6	2	1	3	4	2	2
S28_Z03	0	3	2	4	3	1	0	0	1	2	0	3	1	1	3	3	3	0	1	0	1	2	4	6	1	2	2	2	3	0	2	1	3	2	3	5	0	0	4	0	0	7	1	1	0	5	3	6	2	2	1	5	3	3	2	1	3	4	2	2
S28_Z05	0	3	0	2	0	3	2	0	1	3	2	4	2	1	3	0	2	2	1	2	4	0	2	1	2	3	0	3	1	3	2	1	3	2	3	5	0	0	3	2	1	0	1	1	4	2	4	4	2	3	3	0	0	4	2	1	3	4	2	2
S28_Z07	0	0	0	0	2	2	1	3	0	1	1	5	2	0	2	4	2	2	2	1	0	4	6	2	2	3	1	5	0	1	0	3	2	4	5	4	2	0	3	2	6	4	0	3	1	4	6	2	2	3	3	0	0	0	2	1	3	4	2	7
S28_Z09	1	1	3	3	1	7	1	3	0	1	1	0	0	2	0	2	6	3	2	1	0	4	1	2	0	1	4	1	4	2	0	3	2	4	5	4	0	0	3	2	1	0	0	3	1	4	2	1	0	0	0	1	1	2	1	0	0	3	0	3
S29_Z00	0	3	0	2	6	0	0	1	3	0	0	3	2	1	3	0	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	2	3	3	0	0	6	2	1	3	4	2	2
S29_Z01	0	3	2	2	6	1	0	0	3	0	0	3	2	1	3	0	0	0	1	0	1	2	4	6	2	3	0	3	5	0	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	2	3	3	0	0	4	2	1	3	4	2	2
S29_Z03	1	0	0	0	2	0	2	3	0	3	2	4	2	0	2	4	4	1	2	1	4	0	2	0	2	3	0	5	0	1	2	1	3	2	3	5	0	0	3	2	1	0	1	1	0	5	3	6	0	3	3	4	4	6	2	1	3	4	2	2
S29_Z05	1	1	3	3	1	7	2	3	0	1	1	5	0	2	0	2	6	3	2	1	4	4	2	0	0	1	4	1	4	2	2	1	3	0	5	1	0	2	0	4	1	0	0	2	1	0	6	2	0	0	0	1	1	2	0	2	2	5	4	4
S29_Z07	1	1	3	0	2	2	1	3	0	1	1	5	0	2	0	4	4	1	2	1	0	4	6	2	0	1	1	1	0	2	0	3	2	4	5	4	0	0	3	2	1	0	0	3	1	4	6	2	0	0	0	4	4	0	2	2	3	2	1	7
S29_Z09	1	1	3	0	2	2	1	3	0	1	1	0	0	2	0	4	4	1	2	1	0	4	1	2	0	1	1	5	0	1	0	3	2	4	5	4	0	0	3	2	1	0	0	3	1	4	0	1	0	0	0	4	4	0	0	2	2	5	3	7
S30_Z00	0	0	0	2	6	0	0	0	3	0	0	3	2	0	2	0	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	3	3	4	4	6	2	1	1	4	2	2
S30_Z01	0	3	0	2	6	0	0	0	1	0	0	3	2	0	2	0	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	2	3	3	0	0	6	2	1	3	4	2	2
S30_Z03	0	0	0	2	6	0	0	0	1	0	0	3	2	0	2	0	0	5	1	0	1	2	4	1	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	2	3	3	0	0	6	2	1	1	4	2	2
S30_Z05	1	1	3	3	1	7	2	3	0	1	1	5	0	2	0	2	4	3	2	1	0	4	2	0	0	1	4	1	4	2	2	3	2	0	5	6	0	2	3	2	1	0	0	3	1	4	6	2	0	0	0	1	1	2	2	1	3	4	2	2
S30_Z07	1	0	0	0	2	2	1	3	0	1	1	5	0	0	2	4	4	1	2	1	0	4	6	2	0	1	1	5	0	1	0	3	2	4	5	4	2	0	3	2	1	4	2	2	3	0	5	0	0	0	0	4	4	0	0	3	0	3	4	4
S30_Z09	1	1	3	3	1	7	1	3	0	1	1	0	0	2	0	2	4	3	2	1	0	4	1	2	0	1	4	1	4	2	0	3	2	4	5	4	0	0	3	2	1	0	0	0	2	3	0	3	0	0	0	1	1	2	1	0	0	3	0	3
S31_Z00	1	1	3	3	1	7	0	1	3	0	0	3	0	2	0	2	6	3	1	0	1	2	4	6	0	1	4	1	4	2	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	0	0	1	1	2	2	1	3	4	2	2
S31_Z01	1	1	3	3	1	7	0	1	3	0	0	3	0	2	0	2	6	3	1	0	1	2	4	6	0	1	4	1	4	2	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	0	0	4	4	2	1	0	1	1	5	3
S31_Z03	1	0	0	0	2	2	2	3	0	3	2	4	2	0	2	4	4	1	2	1	4	0	2	0	2	3	1	5	0	1	2	1	3	2	3	5	2	0	3	2	6	4	1	1	0	5	3	6	0	3	3	4	4	0	2	1	3	4	2	2
S31_Z05	1	0	0	0	2	2	2	3	0	1	1	5	0	0	2	4	4	1	2	1	0	4	2	0	0	1	1	5	0	1	0	3	2	0	5	6	2	0	3	2	6	4	0	3	1	4	2	1	0	3	3	4	4	0	2	1	3	4	2	2
S31_Z07	2	2	4	1	5	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	2	6	0	0	0	3	4	3	1	3	2	1	2	1	2	0	2	3	5	3	1	1	2	2	2	5	0	2	3	4	4	0
S31_Z09	1	1	3	3	1	7	1	3	0	1	1	0	0	2	0	2	6	3	2	1	0	4	1	2	0	1	4	1	4	2	0	3	2	4	5	4	0	0	3	2	1	0	2	0	2	3	0	3	0	0	0	1	1	2	1	2	4	1	0	3
S32_Z00	1	1	3	3	1	7	0	1	3	0	0	3	0	2	0	2	6	3	1	0	1	2	4	6	0	1	4	1	4	2	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	0	0	1	1	2	2	1	1	4	2	2
S32_Z01	0	0	0	2	6	0	0	1	3	0	0	3	2	0	2	0	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	3	3	4	4	6	2	1	3	4	2	7
S32_Z03	2	2	4	1	0	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	1	3	0	0	0	3	4	3	2	0	4	0	6	6	2	0	2	3	0	3	1	1	2	2	2	1	2	1	3	4	2	2
S32_Z05	2	2	4	1	5	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	2	6	0	0	0	3	4	3	1	3	2	1	2	1	2	0	2	3	5	3	1	1	2	2	2	1	2	1	3	4	2	2
S32_Z07	2	2	4	1	5	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	2	6	0	0	0	3	4	3	1	3	2	1	2	1	2	2	3	0	5	7	1	1	2	2	2	1	2	2	3	2	1	0
S32_Z09	1	0	0	0	2	2	1	3	2	1	1	0	0	0	2	4	4	1	2	1	0	4	6	2	0	1	1	5	0	1	0	3	2	3	4	4	2	0	3	2	1	0	2	0	2	3	0	3	0	3	3	4	4	0	1	0	4	1	3	3
S33_Z00	1	0	0	0	6	0	0	1	3	0	0	3	0	0	2	4	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	0	0	4	4	6	2	1	1	4	2	2
S33_Z01	0	3	2	2	0	1	2	0	1	3	2	4	2	1	3	0	2	0	1	1	4	0	2	0	2	3	0	3	1	3	1	2	3	2	3	7	2	0	4	0	0	7	1	0	2	3	0	4	2	2	1	5	3	4	2	1	3	4	2	2
S33_Z03	2	2	4	1	5	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	2	6	0	0	0	3	4	3	1	3	2	1	2	6	2	0	2	3	0	3	1	1	2	2	2	1	2	1	3	4	2	7
S33_Z05	2	2	4	1	5	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	2	6	0	0	0	3	4	3	1	3	2	1	2	1	2	0	2	3	0	3	1	1	2	2	2	1	2	1	3	4	2	7
S33_Z07	2	2	4	1	5	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	2	6	0	0	0	3	4	3	1	3	2	1	2	1	2	2	3	0	5	7	1	1	2	2	2	5	0	3	2	5	4	5
S33_Z09	1	1	3	3	1	7	1	3	0	1	1	0	0	2	0	2	6	3	2	1	0	4	6	2	0	1	4	1	4	2	0	3	2	4	5	4	0	0	3	2	1	0	2	0	2	3	0	3	0	0	0	1	4	2	1	0	0	3	0	7
S34_Z00	1	0	0	0	6	0	0	1	3	0	0	3	0	0	2	4	0	5	1	0	1	2	4	6	2	3	0	3	5	5	1	2	1	5	1	2	0	2	0	4	4	3	1	1	0	5	3	6	0	0	3	4	4	6	1	0	4	1	0	3
S34_Z01	2	3	2	4	0	3	2	3	0	3	2	4	1	1	3	3	3	0	2	1	4	0	2	0	1	0	3	0	1	3	2	1	3	2	3	5	2	0	4	0	6	6	0	0	2	3	0	3	1	1	2	5	3	1	2	1	3	4	2	2
S34_Z03	2	2	4	1	5	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	2	6	0	0	0	3	4	3	1	3	2	1	2	6	2	0	2	3	0	3	1	1	2	2	2	1	2	1	3	4	2	2
S34_Z05	2	2	4	1	5	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	2	6	0	0	0	3	4	3	1	3	2	1	2	1	2	0	2	3	0	3	1	1	2	2	2	1	2	1	1	4	2	2
S34_Z07	2	2	4	1	5	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	2	6	0	0	0	3	4	3	1	3	2	1	2	1	2	0	2	3	5	3	1	1	2	2	2	1	2	1	3	4	3	2
S34_Z09	2	2	4	1	5	4	1	2	2	5	6	6	1	3	4	1	1	4	0	3	3	5	5	7	1	0	3	0	2	6	0	0	0	3	4	3	1	3	2	1	2	1	2	2	3	0	5	7	1	1	2	2	2	1	0	3	0	5	3	5
