Samples	Temperature_3_EPI	Oxygen_3_EPI	nitrates_3_EPI	Temperature_4_EPI	Oxygen_4_EPI	nitrates_4_EPI	Temperature_5_EPI	Oxygen_5_EPI	nitrates_5_EPI	Temperature_6_EPI	Oxygen_6_EPI	nitrates_6_EPI	Temperature_7_EPI	Oxygen_7_EPI	nitrates_7_EPI	Temperature_8_EPI	Oxygen_8_EPI	nitrates_8_EPI
S01_Z01	0.0	2.0	0.0	0.0	3.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	1.0	6.0	0.0	1.0	7.0	0.0
S01_Z05	0.0	1.0	1.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	2.0	0.0	4.0	2.0
S02_Z01	1.0	2.0	0.0	1.0	3.0	0.0	2.0	4.0	0.0	2.0	5.0	0.0	3.0	6.0	0.0	3.0	7.0	0.0
S02_Z03	0.0	2.0	1.0	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	2.0	0.0	4.0	3.0	0.0	5.0	3.0
S02_Z05	0.0	2.0	0.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	0.0	4.0	1.0	0.0	5.0	2.0
S03_Z01	1.0	2.0	0.0	1.0	3.0	0.0	2.0	4.0	1.0	2.0	4.0	1.0	2.0	5.0	1.0	3.0	6.0	1.0
S03_Z03	0.0	2.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	4.0	1.0	0.0	5.0	1.0	1.0	6.0	1.0
S03_Z05	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	2.0	0.0	5.0	2.0	0.0	5.0	2.0	1.0	6.0	3.0
S04_Z01	0.0	2.0	0.0	1.0	3.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	2.0	6.0	0.0	2.0	7.0	0.0
S04_Z05	0.0	2.0	0.0	0.0	3.0	1.0	1.0	4.0	1.0	1.0	5.0	1.0	1.0	6.0	1.0	1.0	6.0	2.0
S05_Z01	1.0	2.0	0.0	2.0	3.0	0.0	2.0	4.0	0.0	3.0	5.0	0.0	4.0	6.0	1.0	4.0	7.0	1.0
S05_Z05	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	2.0	0.0	4.0	3.0	0.0	5.0	4.0	0.0	6.0	4.0
S05_Z07	0.0	1.0	2.0	0.0	1.0	2.0	0.0	2.0	3.0	0.0	2.0	4.0	0.0	3.0	5.0	0.0	3.0	5.0
S06_Z05	0.0	0.0	2.0	0.0	1.0	3.0	0.0	1.0	4.0	0.0	1.0	4.0	0.0	2.0	5.0	0.0	2.0	6.0
S07_Z01	2.0	2.0	0.0	2.0	3.0	0.0	3.0	4.0	0.0	4.0	5.0	1.0	4.0	6.0	1.0	5.0	6.0	1.0
S07_Z03	0.0	1.0	2.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	2.0	4.0	0.0	2.0	4.0	0.0	2.0	5.0
S07_Z05	0.0	1.0	2.0	0.0	1.0	3.0	0.0	1.0	3.0	0.0	2.0	4.0	0.0	2.0	5.0	0.0	2.0	6.0
S08_Z01	2.0	2.0	1.0	3.0	3.0	1.0	4.0	4.0	1.0	5.0	5.0	2.0	6.0	6.0	2.0	7.0	7.0	3.0
S08_Z03	0.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	3.0	0.0	2.0	3.0	0.0	2.0	4.0	0.0	3.0	5.0
S08_Z05	0.0	1.0	2.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	2.0	4.0	0.0	2.0	4.0	0.0	3.0	5.0
S09_Z01	1.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	3.0	3.0	2.0	4.0	3.0	3.0	4.0	4.0	3.0
S09_Z03	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	2.0	3.0	3.0	2.0	3.0	3.0	3.0	4.0	4.0	3.0
S09_Z05	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0
S10_Z01	2.0	2.0	1.0	2.0	2.0	2.0	3.0	3.0	2.0	4.0	4.0	3.0	5.0	4.0	3.0	5.0	5.0	4.0
S10_Z05	0.0	0.0	2.0	1.0	0.0	3.0	1.0	1.0	4.0	1.0	1.0	5.0	2.0	1.0	6.0	2.0	1.0	7.0
S11_Z01	2.0	2.0	2.0	3.0	3.0	3.0	4.0	4.0	3.0	5.0	5.0	4.0	5.0	6.0	5.0	6.0	7.0	6.0
S11_Z03	1.0	0.0	2.0	1.0	0.0	3.0	2.0	1.0	4.0	2.0	1.0	5.0	2.0	1.0	6.0	3.0	1.0	7.0
S11_Z05	1.0	0.0	2.0	1.0	0.0	3.0	1.0	1.0	4.0	2.0	1.0	5.0	2.0	1.0	6.0	2.0	1.0	7.0
S12_Z03	0.0	2.0	1.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	2.0	1.0	5.0	2.0	1.0	5.0	2.0
S12_Z05	0.0	1.0	2.0	0.0	1.0	3.0	0.0	1.0	4.0	0.0	2.0	5.0	0.0	2.0	6.0	0.0	2.0	6.0
S13_Z01	2.0	2.0	0.0	3.0	3.0	0.0	4.0	4.0	0.0	5.0	5.0	0.0	6.0	6.0	0.0	6.0	7.0	0.0
S13_Z03	1.0	1.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0
S14_Z01	2.0	2.0	0.0	3.0	3.0	0.0	4.0	4.0	0.0	5.0	5.0	0.0	6.0	5.0	0.0	7.0	6.0	0.0
S14_Z03	1.0	2.0	0.0	2.0	2.0	1.0	2.0	3.0	1.0	3.0	4.0	1.0	4.0	4.0	1.0	4.0	5.0	2.0
S14_Z05	0.0	1.0	1.0	0.0	2.0	1.0	0.0	2.0	2.0	1.0	3.0	2.0	1.0	3.0	3.0	1.0	4.0	3.0
S15_Z01	2.0	2.0	0.0	2.0	3.0	0.0	3.0	4.0	0.0	4.0	5.0	1.0	5.0	6.0	1.0	5.0	7.0	1.0
S15_Z03	0.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	1.0	3.0	3.0	1.0	4.0	3.0	2.0	5.0	4.0
S15_Z05	0.0	1.0	1.0	0.0	2.0	2.0	0.0	2.0	2.0	1.0	3.0	3.0	1.0	3.0	3.0	1.0	4.0	4.0
S16_Z01	1.0	2.0	0.0	1.0	3.0	1.0	1.0	4.0	1.0	2.0	5.0	1.0	2.0	6.0	2.0	3.0	7.0	2.0
S16_Z03	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	2.0	1.0	5.0	2.0	1.0	6.0	3.0	1.0	7.0	3.0
S16_Z05	0.0	1.0	2.0	0.0	1.0	3.0	0.0	1.0	4.0	0.0	2.0	5.0	1.0	2.0	5.0	1.0	3.0	6.0
S17_Z01	1.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	4.0	3.0	2.0	5.0	4.0	3.0	6.0	4.0	3.0	6.0
S17_Z03	1.0	0.0	2.0	1.0	1.0	3.0	2.0	1.0	3.0	2.0	1.0	4.0	3.0	1.0	5.0	3.0	2.0	6.0
S17_Z05	0.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	0.0	5.0	1.0	0.0	6.0	2.0	1.0	7.0
S18_Z01	1.0	0.0	2.0	1.0	0.0	2.0	2.0	0.0	3.0	2.0	1.0	4.0	3.0	1.0	5.0	3.0	1.0	5.0
S18_Z03	1.0	0.0	2.0	1.0	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	2.0	0.0	4.0	2.0	0.0	5.0
S18_Z05	1.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	2.0	0.0	4.0	2.0	0.0	5.0	2.0	0.0	6.0
S19_Z01	2.0	2.0	0.0	3.0	3.0	1.0	4.0	3.0	1.0	4.0	4.0	1.0	5.0	5.0	2.0	6.0	6.0	2.0
S19_Z03	0.0	0.0	2.0	1.0	1.0	3.0	1.0	1.0	4.0	1.0	1.0	5.0	1.0	1.0	5.0	2.0	2.0	6.0
S19_Z05	0.0	0.0	2.0	0.0	0.0	3.0	1.0	0.0	4.0	1.0	1.0	5.0	1.0	1.0	6.0	1.0	1.0	7.0
S20_Z01	2.0	2.0	1.0	3.0	3.0	1.0	4.0	4.0	2.0	5.0	5.0	2.0	5.0	6.0	2.0	6.0	7.0	3.0
S20_Z03	1.0	0.0	2.0	2.0	1.0	3.0	2.0	1.0	4.0	3.0	1.0	5.0	3.0	1.0	6.0	4.0	2.0	7.0
S20_Z05	0.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	0.0	5.0	2.0	0.0	6.0	2.0	0.0	7.0
S21_Z01	2.0	2.0	1.0	3.0	2.0	2.0	4.0	3.0	2.0	4.0	4.0	3.0	5.0	4.0	3.0	6.0	5.0	4.0
S21_Z05	0.0	0.0	2.0	1.0	0.0	3.0	1.0	0.0	4.0	1.0	0.0	5.0	2.0	1.0	6.0	2.0	1.0	7.0
S24_Z01	1.0	1.0	1.0	2.0	1.0	2.0	3.0	2.0	2.0	3.0	2.0	3.0	4.0	3.0	4.0	5.0	3.0	4.0
S24_Z03	0.0	0.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	4.0	2.0	2.0	5.0	2.0	2.0	6.0
S24_Z05	0.0	0.0	2.0	0.0	0.0	3.0	1.0	0.0	4.0	1.0	1.0	5.0	1.0	1.0	6.0	1.0	1.0	7.0
S25_Z01	2.0	2.0	0.0	3.0	3.0	0.0	4.0	3.0	0.0	5.0	4.0	0.0	6.0	5.0	0.0	7.0	6.0	0.0
S25_Z03	2.0	1.0	0.0	2.0	2.0	1.0	3.0	2.0	1.0	4.0	3.0	1.0	4.0	3.0	2.0	5.0	4.0	2.0
S25_Z05	1.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	3.0	2.0	3.0	3.0	2.0	4.0	4.0	3.0	5.0	4.0
S26_Z01	2.0	2.0	0.0	3.0	3.0	0.0	4.0	4.0	0.0	5.0	4.0	0.0	6.0	5.0	0.0	7.0	6.0	0.0
S26_Z03	2.0	1.0	0.0	3.0	2.0	1.0	3.0	2.0	1.0	4.0	3.0	1.0	5.0	4.0	2.0	6.0	4.0	2.0
S26_Z05	1.0	0.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	4.0	3.0	2.0	4.0
S27_Z01	1.0	1.0	1.0	2.0	1.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	4.0	5.0	3.0	5.0
S27_Z03	1.0	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	2.0	0.0	5.0	3.0	1.0	6.0	3.0	1.0	7.0
S27_Z05	1.0	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	2.0	0.0	5.0	3.0	0.0	6.0	3.0	0.0	7.0
S28_Z01	2.0	2.0	0.0	3.0	3.0	0.0	4.0	3.0	0.0	5.0	4.0	0.0	6.0	5.0	0.0	7.0	6.0	1.0
S28_Z03	2.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	1.0	4.0	3.0	2.0	5.0	3.0	2.0	5.0	4.0	3.0
S28_Z05	1.0	0.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0	1.0	4.0	3.0	2.0	4.0	4.0	2.0	5.0
S29_Z01	2.0	2.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	4.0	0.0	6.0	5.0	0.0	7.0	5.0	0.0
S29_Z03	2.0	1.0	2.0	3.0	2.0	2.0	4.0	2.0	3.0	5.0	3.0	4.0	6.0	4.0	5.0	6.0	4.0	5.0
S29_Z05	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	5.0
S30_Z01	2.0	1.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	3.0	0.0	6.0	4.0	0.0	7.0	5.0	1.0
S30_Z03	1.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0	3.0	2.0	2.0	4.0	2.0	2.0	4.0	2.0	3.0
S30_Z05	1.0	0.0	1.0	2.0	0.0	2.0	2.0	1.0	3.0	3.0	1.0	3.0	3.0	1.0	4.0	4.0	1.0	5.0
S31_Z01	2.0	2.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	4.0	0.0	6.0	5.0	0.0	7.0	5.0	0.0
S31_Z03	2.0	1.0	1.0	3.0	1.0	2.0	4.0	2.0	2.0	4.0	2.0	3.0	5.0	2.0	3.0	6.0	3.0	4.0
S31_Z05	1.0	0.0	2.0	2.0	0.0	3.0	3.0	0.0	4.0	3.0	0.0	4.0	4.0	0.0	5.0	5.0	1.0	6.0
S32_Z01	2.0	1.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	3.0	0.0	6.0	4.0	0.0	7.0	4.0	0.0
S32_Z03	2.0	0.0	0.0	3.0	0.0	1.0	3.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	2.0	6.0	0.0	2.0
S32_Z05	2.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	4.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	1.0
S33_Z01	2.0	1.0	0.0	3.0	1.0	0.0	4.0	2.0	0.0	5.0	2.0	0.0	6.0	2.0	0.0	7.0	3.0	0.0
S33_Z03	2.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	1.0	6.0	0.0	1.0
S33_Z05	2.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	1.0	4.0	0.0	2.0	4.0	0.0	2.0	5.0	0.0	2.0
S34_Z01	2.0	0.0	1.0	3.0	0.0	2.0	4.0	0.0	2.0	5.0	0.0	3.0	6.0	0.0	3.0	7.0	0.0	4.0
S34_Z03	2.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	1.0	6.0	0.0	1.0
S34_Z05	2.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	4.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	1.0
